,Current Place,,,Place of interest,,,Food you like most,Leisure time activity,Future plan,Typically your days are started at:
,Name,Latitude,Longitude,Name,Latitude,Longitude,,,,
151340894,Mirpur,23.776604,90.382988,Saint Martin,20.623345,92.323007,Biriyani,listening music,Higher Study,8:00
151340897,Mohanogor,23.734558,90.384998,Canada,56.130367,-106.346771,Egg and Milk,Reading Newspapers,Higher Study,6:30
151340898,Gopibag,23.722109,90.426212,Bandarban,-7.73352,112.95887,Tea,ChitChat with friends,Traveling,10:00
151340900,Rampura,23.761227,90.420769,Norway,22.32002,39.10083,Hilsa,Reading Magazines,BCS,8:00
151340901,Shantinagar,23.7382,90.4143,Malaysia,4.2105,101.9758,Biriyani,Online Gaming,BCS,9:00
151340902,Siddeswari,23.70731,90.41548,Santorini,36.393154,25.46151,Biriyani,"Watching movies, series",Higher Study,10:00
151340903,Narinda,23.70731,90.41548,Istanbul,41.00824,28.978359,Mutton,Documentary,Afflulent,11:00
151340904,Mugdapara,23.730534,90.446159,Niagara Falls,43.089558,-79.084946,"Chicken,Egg & Milk",Reading Books,Higher Study,6:00:00 AM
151340905,Shahidbag,23.828959,90.375672,Paris,48.856613,2.352222,Pizza,Cooking,Teaching,9:00
151340906,Tejgaon,23.759815,90.391319,Chittagong,22.356852,91.78318,Khola pitha,Exploring,BCS,11:00
151340907,Rampura,23.70731,90.41548,Chittagong,22.356852,91.78318,Biriyani,Reading Books,Teaching,9:00
151340909,Aftabnagar,23.768518,90.425641,Philipines,12.879721,121.774017,Chicken,"watching movies,series",Entrepreneur,10:00
151340910,Goran,12.16007,7.87021,Kashmir,33.778175,76.576172,Kacchi,playing cricket,bcs,12:00
151340911,Tejgaon,23.759815,90.391319,Bandarban,21.4311,92.3686,Pasta,Watching Movies,Travelling,10:00
151340912,Mohammadpur,23.765844,90.35836,Saint Martin,20.623345,92.323007,Biriyani,listening music,S/w enginner,11:00
151340913,Rampura,23.70731,90.41548,Bandarban,21.4311,92.3686,Pasta,Reading Books,Travelling,9:00
151340914,Mirpur,33.24981,74.26156,USA,37.09024,-95.712891 Biriyani,,Reading Books,Teaching,7:00
151340916,Rampura,23.70731,90.41548,Saint martin,20.62301751,92.32021205,Hilsa,Watching movies,Web developer,10:00
151340917,Maniknagar,23.70731,90.41548,Ladakh,35.447601,76.274803,gorur mangsho,watch Movies,still in progress,8:00
151340918,India,24.15966117,90.64846158,Comilla,23.450012,91.199997,Biriyani,watching tv shows,BCS,9:00
151340919,Uttara,23.873751,90.396454,Kashmir,34.083656,74.797371,Kacchi,"tv series, online gaming",Higher Study,11:00
151340920,Khilgaon,23.743617,90.426681,lecco,45.852982,9.39007,Kacchi,Graphics Design,Ai Architecture,11:00
