ID,Current Place Name,Current Place Lat,Current Place Long,Place of interest Name,Place of interest Lat,Place of interest Long,Food you like most,Leisure time activity ,Future plan,Typically your days are started at:
151340976.0,Goran,23.75027,90.43413000000001,Cox's Bazar,21.41127,91.995891,Biriyani,Movies,Software Engineer,LR
151340977.0,Banasree,22.513531,88.301537,Sea Beach,,,Kachchi,Sports,BCS/Business,LR
151340980.0,Niketon,23.70731,90.41548,home,23.70731,90.41548,any,"movies,music",software Engineer,LR
151340981.0,Shaymoli,22.301410999999998,70.822357,home,22.301411,70.822357,sea food,music,businessman,LR
151340982.0,Bangshal,-32.34861,151.924576,Cox's Bazar,21.41127,91.995891,Burger,Series,Entrepreneur,LR
151340983.0,Dania,23.701442999999998,90.442194,Bandorban,21.4796,92.5594,Biriyani,movies,Network Engineer,LR
151340984.0,Jurain,23.697285,90.43181700000001,Home,23.697285,90.431817,Biriyani,,CEO,LR
151340985.0,Lalbag,23.70731,90.41548,Home,23.70731,90.41548,Any,All,Higher Studies,LR
151340986.0,Rampura,23.761226999999998,90.42076899999999,Home,23.761227,90.420769,Biriyani,Movies,Software Engineer,LR
151340988.0,Rampura,23.761226999999998,90.42076899999999,Bandorban,21.4796,92.5594,Chicken,"movies, music",Software Engineer,LR
151340990.0,Dania,23.701442999999998,90.442194,Cox's Bazar,21.41127,91.995891,khichuri,movies,job,LR
151340991.0,Mohammadpur,23.7658,90.3584,Sea Beach,,,Fast Food,Sci Fi Movie,Higher Studies,LR
151340992.0,Jigatola,23.737285999999997,90.37161,Cox’s Bazar,21.41127,91.995891,Cheesy fries,Movies,BCS,LR
151340994.0,Shamoli,23.70731,90.41548,Tejgaon,23.733103,90.368848,Biriyani,Movies,Game Development,LR
151340995.0,Green Corner,23.745173,90.386421,Home,23.745173,90.386421,Biriyani,Movies,BCS,LR
151340996.0,Shahjahanpur,27.883743,79.912247,Cox's Bazar,21.41127,91.995891,Biriyani,Movies,Web Development,LR
151340998.0,Khilgaon,23.70731,90.41548,Home,23.70731,90.41548,Biriyani,Tv series,Higher Studies,LR
151341000.0,Banani,23.793993,90.404274,Sea Beach,,,Spicy Foods,Tv series/movies,not fixed,LR
151341001.0,Uttara,24.098379,90.328712,Home,24.098379,90.328712,Burger,Tv series,Entrepreneur,LR
151340894.0,Mirpur,23.776604000000003,90.382988,Saint Martin,20.623345,92.323007,Biriyani,listening music,Higher Study,8:00
151340897.0,Mohanogor,23.734558,90.384998,Canada,56.130367,-106.346771,Egg and Milk,Reading Newspapers,Higher Study,6:30
151340898.0,Gopibag,23.722109,90.42621199999999,Bandarban,-7.73352,112.95887,Tea,ChitChat with friends,Traveling,10:00
151340900.0,Rampura,23.761226999999998,90.42076899999999,Norway,22.32002,39.10083,Hilsa,Reading Magazines,BCS,8:00
151340901.0,Shantinagar,23.7382,90.4143,Malaysia,4.2105,101.9758,Biriyani,Online Gaming,BCS,9:00
151340902.0,Siddeswari,23.70731,90.41548,Santorini,36.393154,25.46151,Biriyani,"Watching movies, series",Higher Study,10:00
151340903.0,Narinda,23.70731,90.41548,Istanbul,41.00824,28.978359,Mutton,Documentary,Afflulent,11:00
151340904.0,Mugdapara,23.730534,90.446159,Niagara Falls,43.089558,-79.084946,"Chicken,Egg & Milk",Reading Books,Higher Study,6:00:00 AM
151340905.0,Shahidbag,23.828959,90.375672,Paris,48.856613,2.352222,Pizza,Cooking,Teaching,9:00
151340906.0,Tejgaon,23.759815,90.391319,Chittagong,22.356852,91.78318,Khola pitha,Exploring,BCS,11:00
151340907.0,Rampura,23.70731,90.41548,Chittagong,22.356852,91.78318,Biriyani,Reading Books,Teaching,9:00
151340909.0,Aftabnagar,23.768518,90.425641,Philipines,12.879721,121.774017,Chicken,"watching movies,series",Entrepreneur,10:00
151340910.0,Goran,12.16007,7.87021,Kashmir,33.778175,76.576172,Kacchi,playing cricket,bcs,12:00
151340911.0,Tejgaon,23.759815,90.391319,Bandarban,21.4311,92.3686,Pasta,Watching Movies,Travelling,10:00
151340912.0,Mohammadpur,23.765844,90.35836,Saint Martin,20.623345,92.323007,Biriyani,listening music,S/w enginner,11:00
151340913.0,Rampura,23.70731,90.41548,Bandarban,21.4311,92.3686,Pasta,Reading Books,Travelling,9:00
151340914.0,Mirpur,33.24981,74.26156,USA,37.09024,-95.712891 Biriyani,,Reading Books,Teaching,7:00
151340916.0,Rampura,23.70731,90.41548,Saint martin,20.62301751,92.32021205,Hilsa,Watching movies,Web developer,10:00
151340917.0,Maniknagar,23.70731,90.41548,Ladakh,35.447601,76.274803,gorur mangsho,watch Movies,still in progress,8:00
151340918.0,India,24.15966117,90.64846158,Comilla,23.450012,91.199997,Biriyani,watching tv shows,BCS,9:00
151340919.0,Uttara,23.873751000000002,90.396454,Kashmir,34.083656,74.797371,Kacchi,"tv series, online gaming",Higher Study,11:00
151340920.0,Khilgaon,23.743617,90.426681,lecco,45.852982,9.39007,Kacchi,Graphics Design,Ai Architecture,11:00
151341035.0,Green Road,46.09124,-67.755478,Madrid,40.416775,-3.70379,Nothing Specific,Playing Games,Higher Study,11:00 AM
121440946.0,Mirpur,23.838115,90.36452,New York,40.712776,-74.005974,Nothing Specific,Listening songs,Higher Study,7:00 AM
151341043.0,Siddheswari,23.70731,90.41548,New York,40.712776,-74.005974,Nothing Specific,Watching Cricket,Higher Study,10:00 AM
141440945.0,Dhanmondi,23.741067,90.36475300000001,Columbia,36.133583,-95.951584,Nothing specific,Watching Movie,Higher Study,9:30 AM
151341040.0,Niketan,23.77195,90.410318,Barcelona,41.385063,2.173404,Anything if cooked perfectly,Reading Books,Working on Machine Learning Field,12:00 PM
151341045.0,Wireless Gate,23.7822038,90.4086827,Times Square,40.759,73.9845,Cheesecake,Music,Higher Study,12:00 PM
141440962.0,Rajarbag,23.742991,90.416032,Makkah,21.389082,39.85791,Beef,Reading,Higher Study,7:30 AM
151341037.0,Mohakhali,23.781866,90.397428,Silicon Valley,37.334789,-121.888138,Biriyani,Online Games,Aerospace Engineer,9:30 AM
151341044.0,Modhubag,23.75124,90.409029,Makkah,21.38908,39.85791,Prawn and Elish,Teach Student,BCS Cadre,                                                   7.30 AM
151341038.0,Siddheswari,23.70731,90.415482,Paris,48.856613,2.352222,Nothing specific,Painting,Higher Study,11:00 AM
151341039.0,Niketan,23.772723000000003,90.407411,Florence,43.769562,11.255814,Pasta,Gaming,Game Development,10.00 AM
131440969.0,Niketan Bazar,28.350179999999998,77.28774,Niagara Falls,43.082817,-79.074165,Biriyani,Watching Movie,Higher Study,10:00:00 AM
151341036.0,North Road,23.743926000000002,90.387736,phuket,7.951933,98.338089,waffle,watching movies,Higher Study,10:00 AM
141440899.0,Mohakhali DOHS,23.78286,90.395439,Canada,56.130367,-106.346771,Pasta,Rading Books,Higher Study,10:00 AM
131440910.0,Modhubag,23.757242,90.412399,Paris,48.856613,2.352222,Pizza,sketch,Graphic Design,9:00 AM
141340900.0,modhubag,23.757243,90.412399,New York,40.712776,-74.005974,Kacchi,Watching cricket,Any job,8:00 AM
151341031.0,Ajimpur,23.720856,90.384846,Tallinn,59.436962,24.753574,Nothing specific,Nothing specific,Not set,5:00 AM
141440980.0,Mirpur,33.147984,73.75367,Canada,56.13036 -106.34577 Kacchi,,,Online Games,Higher Study,8:00 AM
151341008.0,Katasur,40.28236,-79.69305,Bandarban,-7.73352,112.95887,Kacchi Biriyani,Sleeping,Don't have,6:00 AM
