,Current Place,,,Place of interest,,,Food you like most,Leisure time activity,Future plan,Typically your days are started at:,Academic Result,Co-curricular Activities,Skill,Number of Achievement,Physical Exercise,Higher Study
,Name,Latitude,Longitude,Name,Latitude,Longitude,,,,,,,,,,
151340976,Goran,23.75027,90.43413,Cox's Bazar,21.41127,91.995891,Biriyani,Movies,Software Engineer,LR,3.13,None,None,1,Yes,No
151340977,Banasree,22.513531,88.301537,Cox's Bazar,20.9232,92.2676,Biriyani,Sports,BCS/Business,LR,2.71,None,Web Development,5,Yes,Yes
151340978,Azimpur,23.7270399,90.3846895,Kaptai Lake,22.755208,92.277031,Biriyani,Series,Higher Study in North America,ER,3.59,Club committee,None,2,Yes,No
151340980,Niketon,23.70731,90.41548,home,23.70731,90.41548,any,"Movies, Music",Software Engineer,LR,2.92,None,None,1,Yes,No
151340981,Shaymoli,22.301411,70.822357,home,22.301411,70.822357,Sea food,Music,Businessman,LR,2.53,None,Java,3,No,Yes
151340982,Bangshal,-32.34861,151.924576,Cox's Bazar,21.41127,91.995891,Burger,Series,Entrepreneur,LR,3.51,None,Networking,2,No,No
151340983,Dania,23.701443,90.442194,Bandorban,21.4796,92.5594,Biriyani,Movies,Network Engineer,LR,3.05,None,Android,4,Yes,Yes
151340984,Jurain,23.697285,90.431817,Home,23.697285,90.431817,Biriyani,N/A,CEO,LR,3.56,Club committee,Java,1,No,Yes
151340985,Lalbag,23.70731,90.41548,Home,23.70731,90.41548,Any,All,Higher Studies,LR,3.32,None,Java,1,Yes,Yes
151340986,Rampura,23.761227,90.420769,Home,23.761227,90.420769,Biriyani,Movies,Software Engineer,LR,3.12,None,Web Development,3,No,Yes
151340988,Rampura,23.761227,90.420769,Bandorban,21.4796,92.5594,Chicken,"Movies, Music",Software Engineer,LR,3.45,None,None,1,No,No
151340990,Dania,23.701443,90.442194,Cox's Bazar,21.41127,91.995891,Khichuri,Movies,job,LR,3.08,None,Machine Learning,3,Yes,Yes
151340991,Mohammadpur,23.7658,90.3584,Cox's Bazar,20.9232,92.2676,Fast Food,Movies,Higher Studies,LR,3.33,None,Java,1,No,Yes
151340992,Jigatola,23.737286,90.37161,Cox's Bazar,21.41127,91.995891,Cheesy Fries,Movies,BCS,LR,3.16,None,Java,3,Yes,Yes
151340994,Shamoli,23.70731,90.41548,Tejgaon,23.733103,90.368848,Biriyani,Movies,Game Development,LR,2.97,Club committee,None,1,No,No
151340995,Green Corner,23.745173,90.386421,Home,23.745173,90.386421,Biriyani,Movies,BCS,LR,3.18,None,Web Development,1,Yes,No
151340996,Shahjahanpur,27.883743,79.912247,Cox's Bazar,21.41127,91.995891,Biriyani,Movies,Web Development,LR,2.8,None,Machine Learning,1,No,Yes
151340998,Khilgaon,23.70731,90.41548,Home,23.70731,90.41548,Biriyani,Tv series,Higher Studies,LR,3.36,None,Java,3,No,Yes
151341000,Banani,23.793993,90.404274,Sea Beach,20.9232,92.2676,Spicy Foods,"Tv series, Movies",not fixed,LR,3.65,Club committee,Java,5,Yes,Yes
151341001,Uttara,24.098379,90.328712,Home,24.098379,90.328712,Burger,Tv series,Entrepreneur,LR,3.18,None,None,1,No,No
151340894,Mirpur,23.776604,90.382988,Saint Martin,20.623345,92.323007,Biriyani,Music,Higher Study,ER,3.07,None,Java,1,No,Yes
151340897,Mohanagar,23.734558,90.384998,Canada,56.130367,-106.346771,Egg & Milk,Reading Newspapers,Higher Study,ER,3.35,None,Java,1,No,Yes
151340898,Gopibag,23.722109,90.426212,Bandarban,-7.73352,112.95887,Tea,ChitChat with friends,Traveling,LR,2.56,None,Android,1,No,No
151340900,Rampura,23.761227,90.420769,Norway,22.32002,39.10083,Hilsa,Reading Magazines,BCS,LR,2.52,None,Java,1,Yes,No
151340901,Shantinagar,23.7382,90.4143,Malaysia,4.2105,101.9758,Biriyani,Online Gaming,BCS,LR,3.04,Club committee,Android,2,No,Yes
151340902,Siddeswari,23.70731,90.41548,Santorini,36.393154,25.46151,Biriyani,Movies,Higher Study,LR,3.37,None,Web Development,3,No,Yes
151340903,Narinda,23.70731,90.41548,Istanbul,41.00824,28.978359,Mutton,Documentary,Afflulent,LR,3.02,None,Java,1,No,No
151340904,Mugdapara,23.730534,90.446159,Niagara Falls,43.089558,-79.084946,Egg & Milk,Reading Books,Higher Study,ER,3.18,None,Java,2,No,Yes
151340905,Shahidbag,23.828959,90.375672,Paris,48.856613,2.352222,Pizza,Cooking,Teaching,LR,3.41,None,Machine Learning,3,Yes,Yes
151340906,Tejgaon,23.759815,90.391319,Chittagong,22.356852,91.78318,Khola pitha,Exploring,BCS,LR,2.92,None,Java,3,Yes,Yes
151340907,Rampura,23.70731,90.41548,Chittagong,22.356852,91.78318,Biriyani,Reading Books,Teaching,LR,3.11,None,Java,2,Yes,Yes
151340909,Aftabnagar,23.768518,90.425641,Philipines,12.879721,121.774017,Chicken,Movies,Entrepreneur,LR,3.32,None,Web Development,3,No,Yes
151340910,Goran,12.16007,7.87021,Kashmir,33.778175,76.576172,Biriyani,Cricket,Bcs,LR,3.25,None,Android,1,Yes,Yes
151340911,Tejgaon,23.759815,90.391319,Bandarban,21.4311,92.3686,Pasta,Movies,Travelling,LR,3.05,None,Web Development,2,Yes,Yes
151340912,Mohammadpur,23.765844,90.35836,Saint Martin,20.623345,92.323007,Biriyani,Music,Software Engineer,LR,3.21,None,Android,2,No,Yes
151340913,Rampura,23.70731,90.41548,Bandarban,21.4311,92.3686,Pasta,Reading Books,Travelling,LR,3.13,None,None,2,No,Yes
151340914,Mirpur,33.24981,74.26156,USA,37.09024,-95.712891,Biriyani,Reading Books,Teaching,ER,2.92,None,Web Development,3,No,Yes
