,Current Place,,,Place of Interest,,,Food you like most,Leisure time Activity,Future Plan,Typically your days are started at:
,Place Name,Latitude,Longitude,Place Name,Latitude,Longitude,,,,
151340949,kunipara,20.53829,86.30937,Bandarban,21.8311,92.368629,coldcoffe,"Music,reading Quran",job,late Riser
151340950,Khilgaon,23.70731,90.41548,Bandarban,21.8311,92.368629,Kabab,Watching movies,Filmmaker,Late Riser
151340951,Matikata,23.822547,90.393463,Bandarban,21.8311,92.368629,Kacchi Biriany,Watching movies,Software Engineer,Late Riser
151340952,Banasree,23.763241,90.434848,Saint Martin,20.9232,92.2676,Fish Barbecue,Jogging,Job,Early Riser
151340954,Mirpur,23.813857,90.36629,Home,23.813857,90.36629,Kacchi Biriyani,Sleeping,Software Developer,Late Riser
151340955,Moghbazar,23.740986,90.411453,Bandarban,21.8311,92.368629,Biriyani,Watching TV,Job,Late Riser
151340956,Malibagh,23.7436442,90.4152239,Saint Martin,20.6237016,92.3233948,Bhaat,Covering songs,Finding happiness,Late Riser
151340957,Shewrapara,23.790041,90.36656,Rangamati,22.33037,91.832626,"Ice cream, Pasta",Listening to music,Software Developer,Late Riser
151340958,Luxmibazar,23.70731,90.41548,Cox's Bazar,39.059479,-80.873016,Biriyani,Playing Cricket,Businessman,Early Riser
151340959,Luxmibazar,23.70731,90.41548,Bandarban,21.8311,92.368629,Laddu,Watching Movie,To do investment,Late Riser
151340960,Banasree,23.70731,90.415482,Bandarban,21.8311,92.368629,Egg,Sleeping,To do business,Late riser
151340961,Niketon Bazar,23.743855,90.369049,Cox's Bazar,39.059479,-80.873016,Burger,Watching Movies,Job,Late Riser
151340962,Mohanagar,23.764509,90.413132,Saint Martin,20.9232,92.2676,"Beef,chicken","Sports,movies,songs",Job,Late Riser
151340963,Shajahanpur,23.7448816,90.426077,Saint Martin,20.6237016,92.3233948,Biriyani,All,Higher Study,Early Riser
151340964,Kunipara,20.53829,86.30937,"Saint Martin,countryside,close to nature",20.6237016,92.3233948,Kacchi Biriany,"Thriller,Non-Fiction novels,Movies,musics",Still Searching,Late Riser
151340966,Shantinagar,23.70731,90.41548,Sylhet,24.90356,91.87361,Beef,Sleeping,Software Engineer,Early Riser
151340967,Rampura,23.767661,90.423256,Bandarban,21.8311,92.368629,,Watching TV Series,Job,Late Riser
151340968,Uttara,23.877386,90.390466,Coxs Bazar,39.059479,-80.873016,Sea Food,Watch Tv Series,Higher Studies,Late Riser
151340969,Mirpur,23.808052,90.371107,Saint Martin,20.6237016,92.3233948,Pasta,Crafting,Higher studies and business,Late riser
151340970,Azimpur,24.098379,90.328712,Saint Martin,20.6237016,92.3233948,Burger,"Social Media, TV Series",Job,Late Riser
151340971,Nikunju-2,23.763889,90.406469,Kuakata,21.823855,90.122472,Kacchi Biriyani,Watching Movie,Entrepreneur,Late Riser
151340972,Azimpur,24.098379,90.328712,Saint Martin,20.6237016,92.3233948,Junk Food,"sleep,Tv series",Software Developer,Late Riser
151340973,Uttara,23.875854,90.379547,Bandarban,21.8311,92.368629,Beef curry,Watching movie series,Haven't decieded yet,Late Riser
151340974,Mirpur,33.249809,74.261559,Bandarban,21.8311,92.368629,Burger,Passing time with friends,Bussinessman,Depends
151340975,Happy Homes,23.7665725,90.4082056,Saint Martin,20.9232,92.2676,Faluda,reading scientific book,Machine Learning Research,Late Riser
